date,start,end,category,details,amount,work,anxiety,attempts,day,totalutc,totaltime,ctotaltime
2-Mar,17:00,18:00,Chores,Cooking,4,school,2,1,Monday,1:00,2,1.5
2-Mar,19:00,20:00,ETC,Skincare,4,school,3,1,Monday,1:00,,
3-Mar,17:00,18:00,Media Consumption,Youtube,2,school,5,2,Tuesday,1:00,2,0.5
3-Mar,23:00,0:00,Socializing,Movies with Friends,1,school,1,0,Tuesday,1:00,,
4-Mar,12:00,13:00,Social Media,Twitter,1,school,3,0,Wednesday,1:00,3,2
4-Mar,17:00,18:00,Chores,Cooking,2,school,4,2,Wednesday,1:00,,
4-Mar,19:00,20:00,Media Consumption,Youtube,2,school,5,1,Wednesday,1:00,,
5-Mar,17:00,18:00,Social Media,Online Shopping,2,school,1,1,Thursday,1:00,2,0.5
5-Mar,21:00,22:00,Media Consumption,Netflix: Love is Blind,2,school,1,0,Thursday,1:00,,
6-Mar,17:00,18:00,Social Media,Twitter,2,school,3,0,Friday,1:00,2,3
6-Mar,20:00,21:00,Social Media,Online Shopping,2,work,3,0,Friday,1:00,,
7-Mar,10:00,11:00,Socializing,Hang Out,1,school,1,0,Saturday,1:00,3,2.5
7-Mar,11:00,12:00,Socializing,Hang Out,1,school,1,0,Saturday,1:00,,
7-Mar,12:00,13:00,ETC,Shopping,1,school,1,0,Saturday,1:00,,
8-Mar,13:00,14:00,Social Media,Tumblr,1,school,2,2,Sunday,1:00,5,4.5
8-Mar,15:00,16:00,Social Media,Twitter,1,school,2,1,Sunday,1:00,,
8-Mar,16:00,17:00,Socializing,Hang Out,1,school,2,3,Sunday,1:00,,
8-Mar,0:00,1:00,Media Consumption,Netflix: Love is Blind,1,school,2,2,Sunday,1:00,,
8-Mar,2:00,3:00,Socializing,Movies with Friends,1,school,2,2,Sunday,1:00,,
9-Mar,16:00,17:00,Chores,Customer Service Problems,1,school,1,2,Monday,1:00,3,1.5
9-Mar,19:00,20:00,Media Consumption,Netflix: Love is Blind,3,school,5,5,Monday,1:00,,
9-Mar,22:00,23:00,Socializing,Movies with Friends,3,school,5,5,Monday,1:00,,
10-Mar,17:00,18:00,Hobby,Arts and Crafts,2,school,4,4,Tuesday,1:00,2,2.5
10-Mar,20:00,21:00,Social Media,Twitter,2,school,3,5,Tuesday,1:00,,
11-Mar,18:00,19:00,Social Media,Twitter,3,school,2,1,Wednesday,1:00,2,4
11-Mar,19:00,20:00,Media Consumption,Netflix: Crash Landing,3,school,2,3,Wednesday,1:00,,
12-Mar,10:00,11:00,Socializing,Hang Out,3,school,2,1,Thursday,1:00,3,1
12-Mar,11:00,12:00,Socializing,Hang Out,3,school,2,1,Thursday,1:00,,
12-Mar,19:00,20:00,Chores,Customer Service Problems,3,school,2,2,Thursday,1:00,,
13-Mar,10:00,11:00,ETC,Event / Concert,3,school,1,2,Friday,1:00,5,3
13-Mar,11:00,12:00,ETC,Event / Concert,3,school,1,1,Friday,1:00,,
13-Mar,12:00,13:00,Socializing,Hang Out,3,school,1,0,Friday,1:00,,
13-Mar,13:00,14:00,Socializing,Hang Out,3,school,1,0,Friday,1:00,,
13-Mar,14:00,15:00,Socializing,Hang Out,3,school,1,0,Friday,1:00,,
14-Mar,11:00,12:00,Social Media,iMessage,3,work,3,2,Saturday,1:00,5,8
14-Mar,12:00,13:00,Social Media,iMessage,3,work,3,3,Saturday,1:00,,
14-Mar,14:00,15:00,Social Media,iMessage,3,work,3,4,Saturday,1:00,,
14-Mar,15:00,16:00,Socializing,Hang Out,3,work,3,1,Saturday,1:00,,
14-Mar,17:00,18:00,Social Media,Reading News,3,work,3,2,Saturday,1:00,,
15-Mar,14:00,15:00,Social Media,Online Shopping,3,work,3,3,Sunday,1:00,1,6.5
16-Mar,12:00,13:00,Social Media,Twitter,3,work,5,3,Monday,1:00,6,6
16-Mar,13:00,14:00,Hobby,Arts and Crafts,3,school,5,1,Monday,1:00,,
16-Mar,14:00,15:00,Hobby,Arts and Crafts,3,school,5,0,Monday,1:00,,
16-Mar,15:00,16:00,Hobby,Arts and Crafts,3,school,5,1,Monday,1:00,,
16-Mar,17:00,18:00,Hobby,Arts and Crafts,3,school,5,0,Monday,1:00,,
16-Mar,23:00,0:00,Socializing,Movies with Friends,2,school,6,0,Monday,1:00,,
17-Mar,11:00,12:00,Social Media,iMessage,2,school,6,1,Tuesday,1:00,4,6
17-Mar,13:00,14:00,Chores,Grocery Shopping,2,school,3,0,Tuesday,1:00,,
17-Mar,16:00,17:00,Hobby,Arts and Crafts,2,school,4,2,Tuesday,1:00,,
17-Mar,17:00,18:00,Chores,Cooking,2,school,5,3,Tuesday,1:00,,
18-Mar,15:00,16:00,Socializing,Movies with Friends,1,school,3,2,Wednesday,1:00,9,10.5
18-Mar,16:00,17:00,Socializing,Movies with Friends,1,school,3,2,Wednesday,1:00,,
18-Mar,17:00,18:00,Hobby,Arts and Crafts,1,school,3,1,Wednesday,1:00,,
18-Mar,18:00,19:00,Hobby,Arts and Crafts,1,school,3,0,Wednesday,1:00,,
18-Mar,19:00,20:00,Hobby,Arts and Crafts,1,school,3,0,Wednesday,1:00,,
18-Mar,20:00,21:00,Hobby,Arts and Crafts,1,school,3,0,Wednesday,1:00,,
18-Mar,20:00,21:00,Socializing,Facetime,1,school,3,0,Wednesday,1:00,,
18-Mar,21:00,22:00,Socializing,Facetime,1,school,5,0,Wednesday,1:00,,
18-Mar,22:00,23:00,Socializing,Facetime,1,school,5,0,Wednesday,1:00,,
19-Mar,16:00,17:00,ETC,Nap,2,school,5,0,Thursday,1:00,2,7.5
19-Mar,20:00,21:00,Social Media,Twitter,2,school,5,5,Thursday,1:00,,
20-Mar,2:00,3:00,Social Media,Twitter,1,school,4,1,Friday,1:00,5,7
20-Mar,15:00,16:00,Social Media,Online Shopping,1,school,4,4,Friday,1:00,,
20-Mar,18:00,19:00,Hobby,Photoshop,1,school,4,2,Friday,1:00,,
20-Mar,19:00,20:00,Hobby,Photoshop,1,school,4,2,Friday,1:00,,
20-Mar,21:00,22:00,Media Consumption,Vlive,1,school,4,6,Friday,1:00,,
21-Mar,10:00,11:00,Social Media,Twitter,1,school,3,2,Saturday,1:00,6,1.5
21-Mar,15:00,16:00,Socializing,Movies with Friends,1,school,3,1,Saturday,1:00,,
21-Mar,16:00,17:00,Socializing,Movies with Friends,1,school,3,1,Saturday,1:00,,
21-Mar,17:00,18:00,Socializing,Movies with Friends,1,school,3,2,Saturday,1:00,,
21-Mar,18:00,19:00,Socializing,Movies with Friends,1,school,3,1,Saturday,1:00,,
21-Mar,23:00,0:00,Hobby,Photoshop,1,school,3,3,Saturday,1:00,,
22-Mar,0:00,1:00,Hobby,Photoshop,1,school,5,1,Sunday,1:00,4,8.5
22-Mar,2:00,3:00,Hobby,Photoshop,1,school,5,2,Sunday,1:00,,
22-Mar,15:00,16:00,Hobby,Photoshop,1,school,5,1,Sunday,1:00,,
22-Mar,20:00,21:00,Social Media,Twitter,1,school,5,7,Sunday,1:00,,
23-Mar,13:00,14:00,Social Media,Twitter,1,school,5,4,Monday,1:00,6,6.5
23-Mar,16:00,17:00,Socializing,Facetime,2,school,5,2,Monday,1:00,,
23-Mar,18:00,19:00,Socializing,Facetime,2,school,5,5,Monday,1:00,,
23-Mar,21:00,22:00,Socializing,Facetime,2,school,5,4,Monday,1:00,,
23-Mar,22:00,23:00,Socializing,Facetime,2,school,5,5,Monday,1:00,,
23-Mar,23:00,0:00,Socializing,Facetime,2,school,5,2,Monday,1:00,,
24-Mar,8:00,9:00,Social Media,Twitter,2,school,5,2,Tuesday,1:00,3,6.5
24-Mar,9:00,10:00,Social Media,iMessage,2,school,5,3,Tuesday,1:00,,
24-Mar,16:00,17:00,Social Media,Twitter,2,school,5,5,Tuesday,1:00,,
25-Mar,16:00,17:00,Social Media,Twitter,2,school,5,5,Wednesday,1:00,6,6
25-Mar,19:00,20:00,Socializing,Facetime,2,school,5,2,Wednesday,1:00,,
25-Mar,20:00,21:00,Socializing,Facetime,2,school,5,2,Wednesday,1:00,,
25-Mar,21:00,22:00,Socializing,Facetime,2,school,6,3,Wednesday,1:00,,
25-Mar,22:00,23:00,Socializing,Facetime,2,school,6,4,Wednesday,1:00,,
25-Mar,23:00,0:00,Socializing,Facetime,2,school,6,5,Wednesday,1:00,,
26-Mar,13:00,14:00,Media Consumption,Youtube,1,school,4,1,Thursday,1:00,5,8.5
26-Mar,17:00,18:00,Social Media,Twitter,1,school,4,3,Thursday,1:00,,
26-Mar,18:00,19:00,Hobby,Photoshop,1,school,4,0,Thursday,1:00,,
26-Mar,19:00,20:00,Hobby,Photoshop,1,school,4,0,Thursday,1:00,,
26-Mar,23:00,0:00,Hobby,Photoshop,1,school,4,0,Thursday,1:00,,
27-Mar,0:00,1:00,Hobby,Photoshop,1,school,4,0,Friday,1:00,5,9
27-Mar,1:00,2:00,Hobby,Photoshop,1,school,4,0,Friday,1:00,,
27-Mar,2:00,3:00,Hobby,Photoshop,1,school,4,0,Friday,1:00,,
27-Mar,12:00,13:00,Socializing,Twitter,1,school,3,1,Friday,1:00,,
27-Mar,15:00,16:00,Social Media,Twitter,1,school,3,2,Friday,1:00,,
28-Mar,0:00,1:00,Hobby,Photoshop,1,school,3,0,Saturday,1:00,5,7
28-Mar,16:00,17:00,Media Consumption,Netflix,1,school,3,3,Saturday,1:00,,
28-Mar,20:00,21:00,Social Media,Twitter,1,school,3,4,Saturday,1:00,,
28-Mar,21:00,22:00,Socializing,Twitter,1,school,3,3,Saturday,1:00,,
28-Mar,23:00,0:00,Socializing,Twitter,1,school,3,2,Saturday,1:00,,
29-Mar,12:00,13:00,Social Media,Twitter,1,school,3,3,Sunday,1:00,3,7.5
29-Mar,17:00,18:00,Socializing,Twitter,1,school,3,2,Sunday,1:00,,
29-Mar,18:00,19:00,Socializing,Twitter,1,school,3,3,Sunday,1:00,,
30-Mar,9:00,10:00,Social Media,Twitter,1,school,3,4,Monday,1:00,7,11.5
30-Mar,16:00,17:00,Socializing,Movies with Friends,1,school,3,1,Monday,1:00,,
30-Mar,17:00,18:00,Socializing,Movies with Friends,1,school,3,2,Monday,1:00,,
30-Mar,18:00,19:00,Socializing,Movies with Friends,1,school,3,1,Monday,1:00,,
30-Mar,19:00,20:00,Socializing,Movies with Friends,1,school,3,2,Monday,1:00,,
30-Mar,20:00,21:00,Socializing,Movies with Friends,1,school,3,4,Monday,1:00,,
30-Mar,22:00,23:00,Social Media,Twitter,1,school,3,3,Monday,1:00,,
31-Mar,11:00,12:00,Media Consumption,Tiktok,1,school,4,3,Tuesday,1:00,4,4.5
31-Mar,12:00,13:00,Social Media,Twitter,1,school,4,4,Tuesday,1:00,,
31-Mar,20:00,21:00,Socializing,Movies with Friends,1,school,4,3,Tuesday,1:00,,
31-Mar,21:00,22:00,Socializing,Movies with Friends,1,school,4,1,Tuesday,1:00,,
1-Apr,12:00,13:00,Social Media,Twitter,1,school,4,2,Wednesday,1:00,3,6
1-Apr,20:00,21:00,Social Media,Games with Friends,1,school,4,0,Wednesday,1:00,,
1-Apr,21:00,22:00,Social Media,Games with Friends,1,school,4,0,Wednesday,1:00,,
2-Apr,18:00,19:00,Social Media,Twitter,2,school,4,3,Thursday,1:00,4,7
2-Apr,19:00,20:00,Socializing,Twitter,2,school,4,4,Thursday,1:00,,
2-Apr,21:00,22:00,Socializing,Movies with Friends,2,school,4,4,Thursday,1:00,,
2-Apr,22:00,23:00,ETC,Online Shopping,2,school,4,3,Thursday,1:00,,
3-Apr,0:00,1:00,Social Media,Twitter,2,school,4,3,Friday,1:00,8,7.5
3-Apr,12:00,13:00,Media Consumption,Netflix,2,school,4,1,Friday,1:00,,
3-Apr,15:00,16:00,Social Media,Twitter,2,school,4,2,Friday,1:00,,
3-Apr,19:00,20:00,Socializing,Twitter,2,school,4,3,Friday,1:00,,
3-Apr,20:00,21:00,Hobby,Photoshop,2,school,4,0,Friday,1:00,,
3-Apr,21:00,22:00,Socializing,Twitter,2,school,4,2,Friday,1:00,,
3-Apr,22:00,23:00,Socializing,Games with Friends,2,school,4,3,Friday,1:00,,
3-Apr,23:00,0:00,Socializing,Games with Friends,2,school,4,4,Friday,1:00,,
4-Apr,0:00,1:00,Hobby,Photoshop,2,school,4,0,Saturday,1:00,8,9.5
4-Apr,13:00,14:00,Media Consumption,Netflix,2,school,4,2,Saturday,1:00,,
4-Apr,14:00,15:00,Media Consumption,Netflix,2,school,4,1,Saturday,1:00,,
4-Apr,15:00,16:00,Media Consumption,Netflix,2,school,4,1,Saturday,1:00,,
4-Apr,16:00,17:00,Media Consumption,Netflix,2,school,4,0,Saturday,1:00,,
4-Apr,17:00,18:00,Social Media,Twitter,2,school,4,3,Saturday,1:00,,
4-Apr,18:00,19:00,Socializing,Twitter,2,school,4,4,Saturday,1:00,,
4-Apr,22:00,23:00,Socializing,Twitter,2,school,4,5,Saturday,1:00,,
5-Apr,13:00,14:00,Socializing,Twitter,2,school,4,3,Sunday,1:00,3,7.5
5-Apr,21:00,22:00,Socializing,Movies with Friends,2,school,4,4,Sunday,1:00,,
5-Apr,22:00,23:00,Socializing,Movies with Friends,2,school,4,5,Sunday,1:00,,
6-Apr,1:00,2:00,Socializing,Movies with Friends,3,school,4,4,Monday,1:00,3,1
6-Apr,2:00,3:00,Socializing,Movies with Friends,3,school,4,4,Monday,1:00,,
6-Apr,22:00,23:00,Socializing,Twitter,3,school,4,3,Monday,1:00,,
7-Apr,0:00,1:00,Socializing,Twitter,3,school,5,4,Tuesday,1:00,4,3
7-Apr,12:00,13:00,Social Media,Twitter,3,school,5,1,Tuesday,1:00,,
7-Apr,13:00,14:00,Media Consumption,Vlive,3,school,5,0,Tuesday,1:00,,
7-Apr,23:00,0:00,Social Media,Twitter + News,3,school,5,2,Tuesday,1:00,,
8-Apr,0:00,1:00,Socializing,Movies with Friends,2,school,5,3,Wednesday,1:00,9,11
8-Apr,1:00,2:00,Socializing,Movies with Friends,2,school,5,4,Wednesday,1:00,,
8-Apr,2:00,3:00,Socializing,Movies with Friends,2,school,5,1,Wednesday,1:00,,
8-Apr,3:00,4:00,Socializing,Movies with Friends,2,school,5,2,Wednesday,1:00,,
8-Apr,4:00,5:00,Socializing,Movies with Friends,2,school,5,3,Wednesday,1:00,,
8-Apr,17:00,18:00,Social Media,Twitter,2,school,5,5,Wednesday,1:00,,
8-Apr,21:00,22:00,Socializing,Games with Friends,2,school,5,4,Wednesday,1:00,,
8-Apr,22:00,23:00,Socializing,Games with Friends,2,school,5,3,Wednesday,1:00,,
8-Apr,23:00,0:00,Socializing,Movies with Friends,2,school,5,2,Wednesday,1:00,,
9-Apr,1:00,2:00,Social Media,Twitter,2,school,3,1,Thursday,1:00,5,8.5
9-Apr,4:00,5:00,Socializing,Movies with Friends,2,school,3,2,Thursday,1:00,,
9-Apr,19:00,20:00,Socializing,Games with Friends,2,school,3,3,Thursday,1:00,,
9-Apr,21:00,22:00,Social Media,Twitter,2,school,3,4,Thursday,1:00,,
9-Apr,22:00,23:00,Social Media,Twitter,2,school,3,1,Thursday,1:00,,
10-Apr,0:00,1:00,ETC,Online Shopping,2,school,3,2,Friday,1:00,7,7
10-Apr,3:00,4:00,Socializing,Games with Friends,2,school,3,3,Friday,1:00,,
10-Apr,4:00,5:00,Socializing,Twitter,2,school,3,1,Friday,1:00,,
10-Apr,15:00,16:00,Social Media,Twitter,2,school,3,2,Friday,1:00,,
10-Apr,18:00,19:00,Social Media,Twitter,2,school,3,4,Friday,1:00,,
10-Apr,22:00,23:00,Socializing,Movies with Friends,2,school,3,4,Friday,1:00,,
10-Apr,23:00,0:00,Socializing,Movies with Friends,2,school,3,1,Friday,1:00,,
11-Apr,0:00,1:00,Socializing,Twitter,2,school,4,2,Saturday,1:00,6,9
11-Apr,1:00,2:00,Socializing,Twitter,2,school,4,3,Saturday,1:00,,
11-Apr,2:00,3:00,Socializing,Twitter,2,school,4,4,Saturday,1:00,,
11-Apr,3:00,4:00,Social Media,Twitter,2,school,4,1,Saturday,1:00,,
11-Apr,20:00,21:00,Social Media,Twitter + Discord,2,school,4,2,Saturday,1:00,,
11-Apr,22:00,23:00,Social Media,Twitter + Discord,2,school,4,3,Saturday,1:00,,
12-Apr,2:00,3:00,Social Media,Twitter + Discord,2,school,5,4,Sunday,1:00,7,8
12-Apr,3:00,4:00,Social Media,Twitter,2,school,5,1,Sunday,1:00,,
12-Apr,4:00,5:00,Social Media,Twitter,2,school,5,2,Sunday,1:00,,
12-Apr,17:00,18:00,Social Media,Twitter,2,school,5,3,Sunday,1:00,,
12-Apr,20:00,21:00,Socializing,Twitter,2,school,5,2,Sunday,1:00,,
12-Apr,21:00,22:00,Socializing,Movies with Friends,2,school,5,1,Sunday,1:00,,
12-Apr,23:00,0:00,Socializing,Movies with Friends,2,school,5,2,Sunday,1:00,,
13-Apr,1:00,2:00,Socializing,Twitter,3,school,5,2,Monday,1:00,5,2
13-Apr,11:00,12:00,Socializing,Twitter,3,school,5,2,Monday,1:00,,
13-Apr,17:00,18:00,Chores,Post Office,3,school,5,0,Monday,1:00,,
13-Apr,18:00,19:00,Socializing,iMessage,3,school,5,2,Monday,1:00,,
13-Apr,23:00,0:00,Socializing,Twitter,3,school,5,1,Monday,1:00,,
